0:0:0:0:0:0:0:1 - - [25/May/2020:14:49:20 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:50:11 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:50:14 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:50:17 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:50:19 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:52:32 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:54:17 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:54:21 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:55:12 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:55:19 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:55:31 +0530] "GET /Servlet/edit?id=null&actionEdit=edit HTTP/1.1" 500 1405
0:0:0:0:0:0:0:1 - - [25/May/2020:14:55:48 +0530] "GET /Servlet/service HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [25/May/2020:14:55:49 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [25/May/2020:14:55:55 +0530] "GET /Servlet/update?actionUpdate=yes&id=6&MacAddress=00-00-00-00-01&IPAddress=255.255.255.251&Model=test&Firmware=.st HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2020:14:55:56 +0530] "GET /Servlet/service HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [25/May/2020:14:56:00 +0530] "GET /Servlet/delete?id=6&actiondelete=yes HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [25/May/2020:14:56:02 +0530] "GET /Servlet/service HTTP/1.1" 200 119
